50 100 10 15
11.379 13.1284
96.0227 60.9898
11.9383 65.6194
49.2416 84.0995
36.1313 49.9818
47 30.7198
5.878 16.9764
33.0012 4.8765
26.452 22.5817
24.5918 36.6971
94.7676 56.7846
3.2442 56.9715
90.6151 77.8776
36.8498 59.0242
66.254 11.0663
95.3625 64.0678
9.4128 7.2019
68.5316 36.5846
41.244 28.7303
11.1789 74.1438
49.1835 6.6987
46.1552 75.7166
87.7058 24.0713
66.0239 23.091
27.7965 1.1988
65.7168 13.2475
64.5415 20.9387
89.7224 21.4183
88.2337 90.5794
33.5172 27.7773
42.7002 9.7102
80.3765 78.2822
92.3094 66.7521
86.6724 61.2673
49.965 34.3792
58.4483 69.0339
92.4757 23.3559
16.6117 30.8029
37.436 35.7301
25.9408 21.6698
83.0481 67.728
7.0177 73.6015
28.103 1.0019
55.5045 35.5914
61.8967 23.9955
40.9787 92.7609
25.8428 76.2987
41.6746 37.9387
38.2056 68.5956
9.6334 69.8873
59.0398 61.5624 1
96.2056 11.2185 1
78.1346 5.0602 1
53.8427 5.521 1
9.4138 2.622 1
88.6009 95.5436 1
25.7495 52.5214 1
46.3507 75.6254 1
33.0798 58.9818 1
75.6773 73.8906 1
80.2849 31.9417 1
80.3118 84.813 1
87.6637 49.3647 1
8.7474 11.4835 1
66.7914 81.2272 1
50.2422 66.6829 1
33.5562 38.1783 1
58.8561 71.8809 1
35.1933 41.8628 1
20.6718 5.5933 1
26.2155 58.5 1
9.8649 29.8828 1
15.0063 40.9563 1
32.1019 58.609 1
59.4389 31.5622 1
15.3738 14.7358 1
6.2626 99.1529 1
0.77822 10.7493 1
77.426 33.4257 1
68.2045 3.7959 1
12.0503 92.2407 1
71.9253 37.3142 1
16.1854 98.9161 1
12.016 54.3456 1
68.1152 56.3317 1
14.4827 18.7899 1
5.7828 21.5496 1
13.4942 48.5307 1
1.478 21.9501 1
18.9117 93.6873 1
7.0862 27.7625 1
3.786 95.3104 1
30.787 81.4933 1
51.5736 34.9599 1
39.3511 2.1606 1
99.5196 34.1013 1
43.96 38.4398 1
15.144 9.329 1
77.8051 96.9253 1
74.1173 19.0045 1
8.7644 16.462 1
47.0426 50.7031 1
29.283 50.8238 1
40.6851 5.1478 1
43.0237 36.7012 1
87.1262 58.4797 1
70.725 99.4751 1
1.4297 43.5132 1
2.4584 69.5998 1
23.6994 1.6475 1
59.8265 15.254 1
92.6198 89.9539 1
33.4413 4.6376 1
44.3033 2.9327 1
9.9138 57.4444 1
71.5151 34.0404 1
72.1638 21.9301 1
78.2471 90.3991 1
94.2045 68.3088 1
4.7568 37.1648 1
80.035 40.1118 1
46.6788 20.497 1
27.914 23.7699 1
4.4721 88.4361 1
78.7551 92.1243 1
89.9124 78.1649 1
77.5684 24.1916 1
83.745 58.3596 1
34.4421 20.1856 1
19.1193 12.7068 1
37.8439 68.7669 1
25.6334 91.0739 1
2.1463 75.094 1
29.3279 82.2909 1
24.0423 22.5121 1
20.2589 38.6746 1
34.8221 41.8688 1
53.715 93.5786 1
12.4314 10.5555 1
19.2738 53.1289 1
48.862 62.1192 1
40.701 28.0342 1
73.4919 19.7763 1
29.9905 40.8387 1
80.7136 36.2605 1
91.3665 16.1901 1
76.5108 89.3525 1
33.4212 44.0476 1
71.9338 67.031 1
3.3593 21.0427 1
