50 100 10 15
98.5959 76.1507
21.275 66.7045
91.8991 97.8112
66.5162 11.7071
74.3478 86.9323
37.8457 56.7855
47.4768 12.0151
10.6262 97.0329
88.3784 83.9967
44.5103 6.2317
66.8228 27.8073
72.8216 40.963
28.5643 62.6809
59.3687 91.9103
37.053 41.5152
79.5638 71.15
7.3534 97.0875
99.2738 43.5472
77.6029 63.5382
0.73705 90.1555
88.8948 87.1584
86.4125 14.2716
69.7594 20.0598
88.4992 62.0928
46.5645 77.5029
37.1558 24.6811
8.3022 36.9452
99.7219 34.1097
86.983 45.639
0.0070261 17.0824
67.9977 74.5606
65.488 9.7978
41.1813 89.0269
47.6368 8.2094
38.8271 78.1523
45.2057 84.8678
2.676 45.0877
42.5286 60.5325
10.5805 35.447
4.3111 75.9095
55.6122 58.9441
61.1287 61.157
73.8832 84.3171
25.6919 45.6988
72.6259 88.279
71.3253 49.3573
50.3765 62.2851
89.277 56.2165
77.9385 72.1661
49.486 54.677
78.4441 59.119 1
44.6353 68.7924 1
91.1908 16.6438 1
8.6587 65.2227 1
99.8937 76.8638 1
72.7581 39.5766 1
55.8407 39.6264 1
14.2824 69.212 1
83.7637 23.7673 1
72.5247 94.8883 1
41.738 13.5752 1
27.3171 51.1515 1
31.4708 4.1431 1
58.1696 31.241 1
68.9358 32.177 1
86.3868 94.8322 1
21.0859 20.7341 1
50.6752 48.9343 1
42.505 44.4675 1
23.97 82.0848 1
75.7523 1.748 1
79.1912 78.8515 1
38.588 54.079 1
31.8054 4.5476 1
48.0925 51.385 1
27.8506 44.5624 1
15.8036 49.1365 1
39.5408 65.9889 1
28.5456 50.537 1
24.3051 74.186 1
64.252 94.385 1
95.6924 79.9325 1
18.6336 43.7726 1
90.9517 9.0313 1
56.874 93.3568 1
19.3516 37.8376 1
70.4238 75.8922 1
65.1579 80.3793 1
33.1897 80.4236 1
52.1569 59.5794 1
2.4763 32.4987 1
2.2273 74.8348 1
79.8524 47.6472 1
10.7812 51.5591 1
68.8807 48.0095 1
77.5026 42.4017 1
79.1494 17.6018 1
70.9469 28.0557 1
94.6538 87.7671 1
29.802 87.3855 1
99.5821 48.9587 1
55.4447 60.6282 1
65.6088 71.7687 1
94.5349 14.0023 1
22.4637 58.3054 1
98.1518 19.5 1
17.0622 6.3338 1
94.106 6.3902 1
95.696 93.9866 1
17.5015 52.0184 1
5.431 15.0116 1
26.8208 64.6592 1
54.601 58.3782 1
77.5186 31.2334 1
60.3759 67.2144 1
31.6096 39.7056 1
43.3353 21.9516 1
84.2779 24.0821 1
62.6133 38.6376 1
27.2548 3.3501 1
51.4534 34.6723 1
88.8401 55.2042 1
17.4296 55.844 1
82.0068 6.6815 1
18.1192 58.194 1
9.7264 47.5858 1
3.1315 66.1935 1
1.0176 78.6098 1
96.7447 19.0028 1
88.8038 96.1509 1
4.9685 53.5061 1
67.0207 91.4518 1
97.6621 64.5664 1
22.0266 15.3469 1
8.4059 5.2182 1
35.8865 1.5051 1
73.3183 19.6363 1
60.2144 52.7712 1
45.1371 14.7672 1
91.2804 7.3134 1
0.31773 55.4839 1
51.008 98.1283 1
14.4461 16.2861 1
50.465 15.6598 1
56.8215 16.3671 1
64.217 7.849 1
20.6934 71.8401 1
34.0187 44.6265 1
32.7474 51.0119 1
61.4965 60.5144 1
