20 50 5 20
85.3031 78.0252
62.2055 38.9739
35.0952 24.1691
51.325 40.3912
40.1808 9.6455
7.5967 13.1973
23.9916 94.2051
12.3319 95.6135
18.3908 57.5209
23.9953 5.978
41.7267 23.478
4.9654 35.3159
90.2716 82.1194
94.4787 1.5403
49.0864 4.3024
48.9253 16.899
33.7719 64.9115
90.0054 73.1722
36.9247 64.7746
11.1203 45.0924
54.7009 59.4896 1
29.6321 26.2212 1
74.4693 60.2843 1
18.8955 71.1216 1
68.6775 22.1747 1
18.3511 11.7418 1
36.8485 29.6676 1
62.5619 31.8778 1
78.0227 42.4167 1
8.1126 50.7858 1
92.9386 8.5516 1
77.5713 26.2482 1
48.6792 80.1015 1
43.5859 2.922 1
44.6784 92.8854 1
30.6349 73.0331 1
50.8509 48.8609 1
51.0772 57.8525 1
81.7628 23.7284 1
79.4831 45.8849 1
64.4318 96.3089 1
37.8609 54.6806 1
81.158 52.1136 1
53.2826 23.1594 1
35.0727 48.8898 1
93.9002 62.406 1
87.5943 67.9136 1
55.0156 39.5515 1
62.2475 36.7437 1
58.7045 98.7982 1
20.7742 3.7739 1
30.1246 88.5168 1
47.0923 91.3287 1
23.0488 79.6184 1
84.4309 9.8712 1
19.4764 26.1871 1
22.5922 33.5357 1
17.0708 67.9728 1
22.7664 13.6553 1
43.5699 72.1227 1
31.1102 10.6762 1
92.338 65.3757 1
43.0207 49.4174 1
18.4816 77.9052 1
90.4881 71.5037 1
97.9748 90.3721 1
43.887 89.0923 1
11.1119 33.4163 1
25.8065 69.8746 1
40.872 19.781 1
