10 20 5 20
85.3031 78.0252
62.2055 38.9739
35.0952 24.1691
51.325 40.3912
40.1808 9.6455
7.5967 13.1973
23.9916 94.2051
12.3319 95.6135
18.3908 57.5209
23.9953 5.978
54.7009 59.4896 1
29.6321 26.2212 1
74.4693 60.2843 1
18.8955 71.1216 1
68.6775 22.1747 1
18.3511 11.7418 1
36.8485 29.6676 1
62.5619 31.8778 1
78.0227 42.4167 1
8.1126 50.7858 1
92.9386 8.5516 1
77.5713 26.2482 1
48.6792 80.1015 1
43.5859 2.922 1
44.6784 92.8854 1
30.6349 73.0331 1
50.8509 48.8609 1
51.0772 57.8525 1
81.7628 23.7284 1
79.4831 45.8849 1
